Region,Nation,MonthYear,Account Type,Type,Count
,Sembia,2021-03,,Total Orders by Nation and Month,183
,Sembia,2021-04,,Total Orders by Nation and Month,162
,Sembia,2021-05,,Total Orders by Nation and Month,191
,Sembia,2021-06,,Total Orders by Nation and Month,156
,Sembia,2021-07,,Total Orders by Nation and Month,167
,Sembia,2021-08,,Total Orders by Nation and Month,174
,Sembia,2021-09,,Total Orders by Nation and Month,186
,Sembia,2021-10,,Total Orders by Nation and Month,177
,Sembia,2021-11,,Total Orders by Nation and Month,177
,Sembia,2021-12,,Total Orders by Nation and Month,182
,Sembia,2022-01,,Total Orders by Nation and Month,184
,Sembia,2022-02,,Total Orders by Nation and Month,176
,Sembia,2022-03,,Total Orders by Nation and Month,187
,Sembia,2022-04,,Total Orders by Nation and Month,162
,Sembia,2022-05,,Total Orders by Nation and Month,165
,Sembia,2022-06,,Total Orders by Nation and Month,178
,Sembia,2022-07,,Total Orders by Nation and Month,167
,Sembia,2022-08,,Total Orders by Nation and Month,165
,Sembia,2022-09,,Total Orders by Nation and Month,168
,Sembia,2022-10,,Total Orders by Nation and Month,181
,Sembia,2022-11,,Total Orders by Nation and Month,183
,Sembia,2022-12,,Total Orders by Nation and Month,176
,Sembia,2023-01,,Total Orders by Nation and Month,177
,Sembia,2023-02,,Total Orders by Nation and Month,181
,Sembia,2023-03,,Total Orders by Nation and Month,175
,Sembia,2023-04,,Total Orders by Nation and Month,178
,Sembia,2023-05,,Total Orders by Nation and Month,185
,Sembia,2023-06,,Total Orders by Nation and Month,152
,Sembia,2023-07,,Total Orders by Nation and Month,200
,Sembia,2023-08,,Total Orders by Nation and Month,174
,Sembia,2023-09,,Total Orders by Nation and Month,177
,Sembia,2023-10,,Total Orders by Nation and Month,189
,Sembia,2023-11,,Total Orders by Nation and Month,169
,Sembia,2023-12,,Total Orders by Nation and Month,170
,Shar,2019-01,,Total Orders by Nation and Month,14
,Shar,2019-02,,Total Orders by Nation and Month,13
,Shar,2019-03,,Total Orders by Nation and Month,13
,Shar,2019-04,,Total Orders by Nation and Month,14
,Shar,2019-05,,Total Orders by Nation and Month,21
,Shar,2019-06,,Total Orders by Nation and Month,23
,Shar,2019-07,,Total Orders by Nation and Month,13
,Shar,2019-08,,Total Orders by Nation and Month,16
,Shar,2019-09,,Total Orders by Nation and Month,14
,Shar,2019-10,,Total Orders by Nation and Month,19
,Shar,2019-11,,Total Orders by Nation and Month,24
,Shar,2019-12,,Total Orders by Nation and Month,16
,Shar,2020-01,,Total Orders by Nation and Month,19
,Shar,2020-02,,Total Orders by Nation and Month,18
,Shar,2020-03,,Total Orders by Nation and Month,19
,Shar,2020-04,,Total Orders by Nation and Month,12
,Shar,2020-05,,Total Orders by Nation and Month,11
,Shar,2020-06,,Total Orders by Nation and Month,14
,Shar,2020-07,,Total Orders by Nation and Month,11
,Shar,2020-08,,Total Orders by Nation and Month,15
,Shar,2020-09,,Total Orders by Nation and Month,17
,Shar,2020-10,,Total Orders by Nation and Month,19
,Shar,2020-11,,Total Orders by Nation and Month,10
,Shar,2020-12,,Total Orders by Nation and Month,13
,Shar,2021-01,,Total Orders by Nation and Month,21
,Shar,2021-02,,Total Orders by Nation and Month,19
,Shar,2021-03,,Total Orders by Nation and Month,30
,Shar,2021-04,,Total Orders by Nation and Month,14
,Shar,2021-05,,Total Orders by Nation and Month,12
,Shar,2021-06,,Total Orders by Nation and Month,15
,Shar,2021-07,,Total Orders by Nation and Month,17
,Shar,2021-08,,Total Orders by Nation and Month,18
,Shar,2021-09,,Total Orders by Nation and Month,11
,Shar,2021-10,,Total Orders by Nation and Month,18
,Shar,2021-11,,Total Orders by Nation and Month,11
,Shar,2021-12,,Total Orders by Nation and Month,13
,Shar,2022-01,,Total Orders by Nation and Month,20
,Shar,2022-02,,Total Orders by Nation and Month,24
,Shar,2022-03,,Total Orders by Nation and Month,22
,Shar,2022-04,,Total Orders by Nation and Month,17
,Shar,2022-05,,Total Orders by Nation and Month,12
,Shar,2022-06,,Total Orders by Nation and Month,12
,Shar,2022-07,,Total Orders by Nation and Month,12
,Shar,2022-08,,Total Orders by Nation and Month,18
,Shar,2022-09,,Total Orders by Nation and Month,17
,Shar,2022-10,,Total Orders by Nation and Month,17
,Shar,2022-11,,Total Orders by Nation and Month,14
,Shar,2022-12,,Total Orders by Nation and Month,23
,Shar,2023-01,,Total Orders by Nation and Month,21
,Shar,2023-02,,Total Orders by Nation and Month,16
,Shar,2023-03,,Total Orders by Nation and Month,17
,Shar,2023-04,,Total Orders by Nation and Month,23
,Shar,2023-05,,Total Orders by Nation and Month,17
,Shar,2023-06,,Total Orders by Nation and Month,19
,Shar,2023-07,,Total Orders by Nation and Month,11
,Shar,2023-08,,Total Orders by Nation and Month,14
,Shar,2023-09,,Total Orders by Nation and Month,7
,Shar,2023-10,,Total Orders by Nation and Month,19
,Shar,2023-11,,Total Orders by Nation and Month,30
,Shar,2023-12,,Total Orders by Nation and Month,16
,Silverymoon,2019-01,,Total Orders by Nation and Month,175
,Silverymoon,2019-02,,Total Orders by Nation and Month,123
,Silverymoon,2019-03,,Total Orders by Nation and Month,185
,Silverymoon,2019-04,,Total Orders by Nation and Month,178
,Silverymoon,2019-05,,Total Orders by Nation and Month,169
,Silverymoon,2019-06,,Total Orders by Nation and Month,155
,Silverymoon,2019-07,,Total Orders by Nation and Month,199
,Silverymoon,2019-08,,Total Orders by Nation and Month,187
,Silverymoon,2019-09,,Total Orders by Nation and Month,184
,Silverymoon,2019-10,,Total Orders by Nation and Month,203
,Silverymoon,2019-11,,Total Orders by Nation and Month,173
,Silverymoon,2019-12,,Total Orders by Nation and Month,179
,Silverymoon,2020-01,,Total Orders by Nation and Month,194
,Silverymoon,2020-02,,Total Orders by Nation and Month,165
,Silverymoon,2020-03,,Total Orders by Nation and Month,180
,Silverymoon,2020-04,,Total Orders by Nation and Month,161
,Silverymoon,2020-05,,Total Orders by Nation and Month,180
,Silverymoon,2020-06,,Total Orders by Nation and Month,162
,Silverymoon,2020-07,,Total Orders by Nation and Month,200
,Silverymoon,2020-08,,Total Orders by Nation and Month,207
,Silverymoon,2020-09,,Total Orders by Nation and Month,193
,Silverymoon,2020-10,,Total Orders by Nation and Month,169
,Silverymoon,2020-11,,Total Orders by Nation and Month,172
,Silverymoon,2020-12,,Total Orders by Nation and Month,170
,Silverymoon,2021-01,,Total Orders by Nation and Month,190
,Silverymoon,2021-02,,Total Orders by Nation and Month,161
,Silverymoon,2021-03,,Total Orders by Nation and Month,185
,Silverymoon,2021-04,,Total Orders by Nation and Month,189
,Silverymoon,2021-05,,Total Orders by Nation and Month,173
,Silverymoon,2021-06,,Total Orders by Nation and Month,169
,Silverymoon,2021-07,,Total Orders by Nation and Month,177
,Silverymoon,2021-08,,Total Orders by Nation and Month,186
,Silverymoon,2021-09,,Total Orders by Nation and Month,165
,Silverymoon,2021-10,,Total Orders by Nation and Month,195
,Silverymoon,2021-11,,Total Orders by Nation and Month,175
,Silverymoon,2021-12,,Total Orders by Nation and Month,168
,Silverymoon,2022-01,,Total Orders by Nation and Month,195
,Silverymoon,2022-02,,Total Orders by Nation and Month,175
,Silverymoon,2022-03,,Total Orders by Nation and Month,162
,Silverymoon,2022-04,,Total Orders by Nation and Month,163
,Silverymoon,2022-05,,Total Orders by Nation and Month,184
,Silverymoon,2022-06,,Total Orders by Nation and Month,182
,Silverymoon,2022-07,,Total Orders by Nation and Month,181
,Silverymoon,2022-08,,Total Orders by Nation and Month,216
,Silverymoon,2022-09,,Total Orders by Nation and Month,194
,Silverymoon,2022-10,,Total Orders by Nation and Month,164
,Silverymoon,2022-11,,Total Orders by Nation and Month,183
,Silverymoon,2022-12,,Total Orders by Nation and Month,181
,Silverymoon,2023-01,,Total Orders by Nation and Month,188
,Silverymoon,2023-02,,Total Orders by Nation and Month,193
,Silverymoon,2023-03,,Total Orders by Nation and Month,179
,Silverymoon,2023-04,,Total Orders by Nation and Month,166
,Silverymoon,2023-05,,Total Orders by Nation and Month,186
,Silverymoon,2023-06,,Total Orders by Nation and Month,180
,Silverymoon,2023-07,,Total Orders by Nation and Month,182
,Silverymoon,2023-08,,Total Orders by Nation and Month,182
,Silverymoon,2023-09,,Total Orders by Nation and Month,194
,Silverymoon,2023-10,,Total Orders by Nation and Month,188
,Silverymoon,2023-11,,Total Orders by Nation and Month,176
,Silverymoon,2023-12,,Total Orders by Nation and Month,190
,Snowdown,2019-01,,Total Orders by Nation and Month,49
,Snowdown,2019-02,,Total Orders by Nation and Month,53
,Snowdown,2019-03,,Total Orders by Nation and Month,59
,Snowdown,2019-04,,Total Orders by Nation and Month,44
,Snowdown,2019-05,,Total Orders by Nation and Month,38
,Snowdown,2019-06,,Total Orders by Nation and Month,51
,Snowdown,2019-07,,Total Orders by Nation and Month,50
,Snowdown,2019-08,,Total Orders by Nation and Month,54
,Snowdown,2019-09,,Total Orders by Nation and Month,42
,Snowdown,2019-10,,Total Orders by Nation and Month,52
,Snowdown,2019-11,,Total Orders by Nation and Month,63
,Snowdown,2019-12,,Total Orders by Nation and Month,53
,Snowdown,2020-01,,Total Orders by Nation and Month,46
,Snowdown,2020-02,,Total Orders by Nation and Month,45
,Snowdown,2020-03,,Total Orders by Nation and Month,43
,Snowdown,2020-04,,Total Orders by Nation and Month,57
,Snowdown,2020-05,,Total Orders by Nation and Month,50
,Snowdown,2020-06,,Total Orders by Nation and Month,39
,Snowdown,2020-07,,Total Orders by Nation and Month,55
,Snowdown,2020-08,,Total Orders by Nation and Month,51
,Snowdown,2020-09,,Total Orders by Nation and Month,52
,Snowdown,2020-10,,Total Orders by Nation and Month,66
,Snowdown,2020-11,,Total Orders by Nation and Month,54
,Snowdown,2020-12,,Total Orders by Nation and Month,56
,Snowdown,2021-01,,Total Orders by Nation and Month,50
,Snowdown,2021-02,,Total Orders by Nation and Month,44
,Snowdown,2021-03,,Total Orders by Nation and Month,43
,Snowdown,2021-04,,Total Orders by Nation and Month,40
,Snowdown,2021-05,,Total Orders by Nation and Month,53
,Snowdown,2021-06,,Total Orders by Nation and Month,39
,Snowdown,2021-07,,Total Orders by Nation and Month,51
,Snowdown,2021-08,,Total Orders by Nation and Month,49
,Snowdown,2021-09,,Total Orders by Nation and Month,46
,Snowdown,2021-10,,Total Orders by Nation and Month,57
,Snowdown,2021-11,,Total Orders by Nation and Month,46
,Snowdown,2021-12,,Total Orders by Nation and Month,45
,Snowdown,2022-01,,Total Orders by Nation and Month,52
,Snowdown,2022-02,,Total Orders by Nation and Month,51
,Snowdown,2022-03,,Total Orders by Nation and Month,42
,Snowdown,2022-04,,Total Orders by Nation and Month,51
,Snowdown,2022-05,,Total Orders by Nation and Month,53
,Snowdown,2022-06,,Total Orders by Nation and Month,44
,Snowdown,2022-07,,Total Orders by Nation and Month,49
,Snowdown,2022-08,,Total Orders by Nation and Month,56
,Snowdown,2022-09,,Total Orders by Nation and Month,40
,Snowdown,2022-10,,Total Orders by Nation and Month,51
,Snowdown,2022-11,,Total Orders by Nation and Month,44
,Snowdown,2022-12,,Total Orders by Nation and Month,54
,Snowdown,2023-01,,Total Orders by Nation and Month,42
,Snowdown,2023-02,,Total Orders by Nation and Month,49
,Snowdown,2023-03,,Total Orders by Nation and Month,52
,Snowdown,2023-04,,Total Orders by Nation and Month,43
,Snowdown,2023-05,,Total Orders by Nation and Month,33
,Snowdown,2023-06,,Total Orders by Nation and Month,47
,Snowdown,2023-07,,Total Orders by Nation and Month,52
,Snowdown,2023-08,,Total Orders by Nation and Month,45
,Snowdown,2023-09,,Total Orders by Nation and Month,43
,Snowdown,2023-10,,Total Orders by Nation and Month,46
,Snowdown,2023-11,,Total Orders by Nation and Month,61
,Snowdown,2023-12,,Total Orders by Nation and Month,45
,Tethyr,2019-01,,Total Orders by Nation and Month,184
,Tethyr,2019-02,,Total Orders by Nation and Month,175
,Tethyr,2019-03,,Total Orders by Nation and Month,186
,Tethyr,2019-04,,Total Orders by Nation and Month,202
,Tethyr,2019-05,,Total Orders by Nation and Month,200
,Tethyr,2019-06,,Total Orders by Nation and Month,169
,Tethyr,2019-07,,Total Orders by Nation and Month,191
,Tethyr,2019-08,,Total Orders by Nation and Month,195
,Tethyr,2019-09,,Total Orders by Nation and Month,170
,Tethyr,2019-10,,Total Orders by Nation and Month,182
,Tethyr,2019-11,,Total Orders by Nation and Month,165
,Tethyr,2019-12,,Total Orders by Nation and Month,203
,Tethyr,2020-01,,Total Orders by Nation and Month,206
,Tethyr,2020-02,,Total Orders by Nation and Month,165
,Tethyr,2020-03,,Total Orders by Nation and Month,198
,Tethyr,2020-04,,Total Orders by Nation and Month,200
,Tethyr,2020-05,,Total Orders by Nation and Month,177
,Tethyr,2020-06,,Total Orders by Nation and Month,196
,Tethyr,2020-07,,Total Orders by Nation and Month,209
,Tethyr,2020-08,,Total Orders by Nation and Month,202
,Tethyr,2020-09,,Total Orders by Nation and Month,184
,Tethyr,2020-10,,Total Orders by Nation and Month,180
,Tethyr,2020-11,,Total Orders by Nation and Month,178
,Tethyr,2020-12,,Total Orders by Nation and Month,175
,Tethyr,2021-01,,Total Orders by Nation and Month,195
,Tethyr,2021-02,,Total Orders by Nation and Month,163
,Tethyr,2021-03,,Total Orders by Nation and Month,198
,Tethyr,2021-04,,Total Orders by Nation and Month,165
,Tethyr,2021-05,,Total Orders by Nation and Month,161
,Tethyr,2021-06,,Total Orders by Nation and Month,195
,Tethyr,2021-07,,Total Orders by Nation and Month,175
,Tethyr,2021-08,,Total Orders by Nation and Month,185
,Tethyr,2021-09,,Total Orders by Nation and Month,196
,Tethyr,2021-10,,Total Orders by Nation and Month,185
,Tethyr,2021-11,,Total Orders by Nation and Month,184
,Tethyr,2021-12,,Total Orders by Nation and Month,201
,Tethyr,2022-01,,Total Orders by Nation and Month,177
,Tethyr,2022-02,,Total Orders by Nation and Month,155
,Tethyr,2022-03,,Total Orders by Nation and Month,198
,Tethyr,2022-04,,Total Orders by Nation and Month,183
,Tethyr,2022-05,,Total Orders by Nation and Month,175
,Tethyr,2022-06,,Total Orders by Nation and Month,187
,Tethyr,2022-07,,Total Orders by Nation and Month,198
,Tethyr,2022-08,,Total Orders by Nation and Month,197
,Tethyr,2022-09,,Total Orders by Nation and Month,204
,Tethyr,2022-10,,Total Orders by Nation and Month,202
,Tethyr,2022-11,,Total Orders by Nation and Month,183
,Tethyr,2022-12,,Total Orders by Nation and Month,186
,Tethyr,2023-01,,Total Orders by Nation and Month,178
,Tethyr,2023-02,,Total Orders by Nation and Month,162
,Tethyr,2023-03,,Total Orders by Nation and Month,190
,Tethyr,2023-04,,Total Orders by Nation and Month,178
,Tethyr,2023-05,,Total Orders by Nation and Month,193
,Tethyr,2023-06,,Total Orders by Nation and Month,186
,Tethyr,2023-07,,Total Orders by Nation and Month,167
,Tethyr,2023-08,,Total Orders by Nation and Month,195
,Tethyr,2023-09,,Total Orders by Nation and Month,195
,Tethyr,2023-10,,Total Orders by Nation and Month,189
,Tethyr,2023-11,,Total Orders by Nation and Month,157
,Tethyr,2023-12,,Total Orders by Nation and Month,186
,Tharsult,2019-01,,Total Orders by Nation and Month,14
,Tharsult,2019-02,,Total Orders by Nation and Month,8
,Tharsult,2019-03,,Total Orders by Nation and Month,15
,Tharsult,2019-04,,Total Orders by Nation and Month,16
,Tharsult,2019-05,,Total Orders by Nation and Month,11
,Tharsult,2019-06,,Total Orders by Nation and Month,21
,Tharsult,2019-07,,Total Orders by Nation and Month,11
,Tharsult,2019-08,,Total Orders by Nation and Month,13
,Tharsult,2019-09,,Total Orders by Nation and Month,10
,Tharsult,2019-10,,Total Orders by Nation and Month,23
,Tharsult,2019-11,,Total Orders by Nation and Month,18
,Tharsult,2019-12,,Total Orders by Nation and Month,18
,Tharsult,2020-01,,Total Orders by Nation and Month,22
,Tharsult,2020-02,,Total Orders by Nation and Month,16
,Tharsult,2020-03,,Total Orders by Nation and Month,18
,Tharsult,2020-04,,Total Orders by Nation and Month,23
,Tharsult,2020-05,,Total Orders by Nation and Month,11
,Tharsult,2020-06,,Total Orders by Nation and Month,21
,Tharsult,2020-07,,Total Orders by Nation and Month,21
,Tharsult,2020-08,,Total Orders by Nation and Month,19
,Tharsult,2020-09,,Total Orders by Nation and Month,20
,Tharsult,2020-10,,Total Orders by Nation and Month,22
,Tharsult,2020-11,,Total Orders by Nation and Month,20
,Tharsult,2020-12,,Total Orders by Nation and Month,16
,Tharsult,2021-01,,Total Orders by Nation and Month,20
,Tharsult,2021-02,,Total Orders by Nation and Month,17
,Tharsult,2021-03,,Total Orders by Nation and Month,12
,Tharsult,2021-04,,Total Orders by Nation and Month,16
,Tharsult,2021-05,,Total Orders by Nation and Month,12
,Tharsult,2021-06,,Total Orders by Nation and Month,9
,Tharsult,2021-07,,Total Orders by Nation and Month,24
,Tharsult,2021-08,,Total Orders by Nation and Month,20
,Tharsult,2021-09,,Total Orders by Nation and Month,25
,Tharsult,2021-10,,Total Orders by Nation and Month,21
,Tharsult,2021-11,,Total Orders by Nation and Month,17
,Tharsult,2021-12,,Total Orders by Nation and Month,11
,Tharsult,2022-01,,Total Orders by Nation and Month,13
,Tharsult,2022-02,,Total Orders by Nation and Month,19
,Tharsult,2022-03,,Total Orders by Nation and Month,19
,Tharsult,2022-04,,Total Orders by Nation and Month,17
,Tharsult,2022-05,,Total Orders by Nation and Month,19
,Tharsult,2022-06,,Total Orders by Nation and Month,9
,Tharsult,2022-07,,Total Orders by Nation and Month,22
,Tharsult,2022-08,,Total Orders by Nation and Month,18
,Tharsult,2022-09,,Total Orders by Nation and Month,9
,Tharsult,2022-10,,Total Orders by Nation and Month,9
,Tharsult,2022-11,,Total Orders by Nation and Month,14
,Tharsult,2022-12,,Total Orders by Nation and Month,22
,Tharsult,2023-01,,Total Orders by Nation and Month,14
,Tharsult,2023-02,,Total Orders by Nation and Month,16
,Tharsult,2023-03,,Total Orders by Nation and Month,18
,Tharsult,2023-04,,Total Orders by Nation and Month,12
,Tharsult,2023-05,,Total Orders by Nation and Month,13
,Tharsult,2023-06,,Total Orders by Nation and Month,18
,Tharsult,2023-07,,Total Orders by Nation and Month,14
,Tharsult,2023-08,,Total Orders by Nation and Month,13
,Tharsult,2023-09,,Total Orders by Nation and Month,28
,Tharsult,2023-10,,Total Orders by Nation and Month,16
,Tharsult,2023-11,,Total Orders by Nation and Month,13
,Tharsult,2023-12,,Total Orders by Nation and Month,16
,Thay,2019-01,,Total Orders by Nation and Month,155
,Thay,2019-02,,Total Orders by Nation and Month,135
,Thay,2019-03,,Total Orders by Nation and Month,162
,Thay,2019-04,,Total Orders by Nation and Month,147
,Thay,2019-05,,Total Orders by Nation and Month,123
,Thay,2019-06,,Total Orders by Nation and Month,127
,Thay,2019-07,,Total Orders by Nation and Month,153
,Thay,2019-08,,Total Orders by Nation and Month,139
,Thay,2019-09,,Total Orders by Nation and Month,150
,Thay,2019-10,,Total Orders by Nation and Month,153
,Thay,2019-11,,Total Orders by Nation and Month,147
,Thay,2019-12,,Total Orders by Nation and Month,139
,Thay,2020-01,,Total Orders by Nation and Month,145
,Thay,2020-02,,Total Orders by Nation and Month,144
,Thay,2020-03,,Total Orders by Nation and Month,154
,Thay,2020-04,,Total Orders by Nation and Month,126
,Thay,2020-05,,Total Orders by Nation and Month,142
,Thay,2020-06,,Total Orders by Nation and Month,136
,Thay,2020-07,,Total Orders by Nation and Month,170
,Thay,2020-08,,Total Orders by Nation and Month,142
,Thay,2020-09,,Total Orders by Nation and Month,148
,Thay,2020-10,,Total Orders by Nation and Month,170
,Thay,2020-11,,Total Orders by Nation and Month,146
,Thay,2020-12,,Total Orders by Nation and Month,165
,Thay,2021-01,,Total Orders by Nation and Month,137
,Thay,2021-02,,Total Orders by Nation and Month,145
,Thay,2021-03,,Total Orders by Nation and Month,136
,Thay,2021-04,,Total Orders by Nation and Month,147
,Thay,2021-05,,Total Orders by Nation and Month,136
,Thay,2021-06,,Total Orders by Nation and Month,169
,Thay,2021-07,,Total Orders by Nation and Month,144
,Thay,2021-08,,Total Orders by Nation and Month,154
,Thay,2021-09,,Total Orders by Nation and Month,134
,Thay,2021-10,,Total Orders by Nation and Month,160
,Thay,2021-11,,Total Orders by Nation and Month,130
,Thay,2021-12,,Total Orders by Nation and Month,179
,Thay,2022-01,,Total Orders by Nation and Month,160
,Thay,2022-02,,Total Orders by Nation and Month,147
,Thay,2022-03,,Total Orders by Nation and Month,167
,Thay,2022-04,,Total Orders by Nation and Month,138
,Thay,2022-05,,Total Orders by Nation and Month,150
,Thay,2022-06,,Total Orders by Nation and Month,153
,Thay,2022-07,,Total Orders by Nation and Month,138
,Thay,2022-08,,Total Orders by Nation and Month,135
,Thay,2022-09,,Total Orders by Nation and Month,140
,Thay,2022-10,,Total Orders by Nation and Month,152
,Thay,2022-11,,Total Orders by Nation and Month,147
,Thay,2022-12,,Total Orders by Nation and Month,156
,Thay,2023-01,,Total Orders by Nation and Month,157
,Thay,2023-02,,Total Orders by Nation and Month,123
,Thay,2023-03,,Total Orders by Nation and Month,153
,Thay,2023-04,,Total Orders by Nation and Month,153
,Thay,2023-05,,Total Orders by Nation and Month,150
,Thay,2023-06,,Total Orders by Nation and Month,143
,Thay,2023-07,,Total Orders by Nation and Month,171
,Thay,2023-08,,Total Orders by Nation and Month,131
,Thay,2023-09,,Total Orders by Nation and Month,160
,Thay,2023-10,,Total Orders by Nation and Month,143
,Thay,2023-11,,Total Orders by Nation and Month,133
,Thay,2023-12,,Total Orders by Nation and Month,165
,Thesk,2019-01,,Total Orders by Nation and Month,79
,Thesk,2019-02,,Total Orders by Nation and Month,69
,Thesk,2019-03,,Total Orders by Nation and Month,74
,Thesk,2019-04,,Total Orders by Nation and Month,79
,Thesk,2019-05,,Total Orders by Nation and Month,76
,Thesk,2019-06,,Total Orders by Nation and Month,85
,Thesk,2019-07,,Total Orders by Nation and Month,60
,Thesk,2019-08,,Total Orders by Nation and Month,82
,Thesk,2019-09,,Total Orders by Nation and Month,77
,Thesk,2019-10,,Total Orders by Nation and Month,84
,Thesk,2019-11,,Total Orders by Nation and Month,77
,Thesk,2019-12,,Total Orders by Nation and Month,93
,Thesk,2020-01,,Total Orders by Nation and Month,75
,Thesk,2020-02,,Total Orders by Nation and Month,71
,Thesk,2020-03,,Total Orders by Nation and Month,66
,Thesk,2020-04,,Total Orders by Nation and Month,79
,Thesk,2020-05,,Total Orders by Nation and Month,86
,Thesk,2020-06,,Total Orders by Nation and Month,83
,Thesk,2020-07,,Total Orders by Nation and Month,72
,Thesk,2020-08,,Total Orders by Nation and Month,85
,Thesk,2020-09,,Total Orders by Nation and Month,80
,Thesk,2020-10,,Total Orders by Nation and Month,80
,Thesk,2020-11,,Total Orders by Nation and Month,67
,Thesk,2020-12,,Total Orders by Nation and Month,80
,Thesk,2021-01,,Total Orders by Nation and Month,79
,Thesk,2021-02,,Total Orders by Nation and Month,78
,Thesk,2021-03,,Total Orders by Nation and Month,90
,Thesk,2021-04,,Total Orders by Nation and Month,74
,Thesk,2021-05,,Total Orders by Nation and Month,94
,Thesk,2021-06,,Total Orders by Nation and Month,84
,Thesk,2021-07,,Total Orders by Nation and Month,76
,Thesk,2021-08,,Total Orders by Nation and Month,94
,Thesk,2021-09,,Total Orders by Nation and Month,90
,Thesk,2021-10,,Total Orders by Nation and Month,80
,Thesk,2021-11,,Total Orders by Nation and Month,67
,Thesk,2021-12,,Total Orders by Nation and Month,62
,Thesk,2022-01,,Total Orders by Nation and Month,92
,Thesk,2022-02,,Total Orders by Nation and Month,67
,Thesk,2022-03,,Total Orders by Nation and Month,90
,Thesk,2022-04,,Total Orders by Nation and Month,73
,Thesk,2022-05,,Total Orders by Nation and Month,75
,Thesk,2022-06,,Total Orders by Nation and Month,79
,Thesk,2022-07,,Total Orders by Nation and Month,80
,Thesk,2022-08,,Total Orders by Nation and Month,95
,Thesk,2022-09,,Total Orders by Nation and Month,89
,Thesk,2022-10,,Total Orders by Nation and Month,67
,Thesk,2022-11,,Total Orders by Nation and Month,79
,Thesk,2022-12,,Total Orders by Nation and Month,72
,Thesk,2023-01,,Total Orders by Nation and Month,73
,Thesk,2023-02,,Total Orders by Nation and Month,74
,Thesk,2023-03,,Total Orders by Nation and Month,81
,Thesk,2023-04,,Total Orders by Nation and Month,85
,Thesk,2023-05,,Total Orders by Nation and Month,80
,Thesk,2023-06,,Total Orders by Nation and Month,83
,Thesk,2023-07,,Total Orders by Nation and Month,80
,Thesk,2023-08,,Total Orders by Nation and Month,77
,Thesk,2023-09,,Total Orders by Nation and Month,71
,Thesk,2023-10,,Total Orders by Nation and Month,78
,Thesk,2023-11,,Total Orders by Nation and Month,73
,Thesk,2023-12,,Total Orders by Nation and Month,96
,Turmish,2019-01,,Total Orders by Nation and Month,186
,Turmish,2019-02,,Total Orders by Nation and Month,134
,Turmish,2019-03,,Total Orders by Nation and Month,160
,Turmish,2019-04,,Total Orders by Nation and Month,167
,Turmish,2019-05,,Total Orders by Nation and Month,165
,Turmish,2019-06,,Total Orders by Nation and Month,152
,Turmish,2019-07,,Total Orders by Nation and Month,158
,Turmish,2019-08,,Total Orders by Nation and Month,140
,Turmish,2019-09,,Total Orders by Nation and Month,182
,Turmish,2019-10,,Total Orders by Nation and Month,179
,Turmish,2019-11,,Total Orders by Nation and Month,181
,Turmish,2019-12,,Total Orders by Nation and Month,151
,Turmish,2020-01,,Total Orders by Nation and Month,161
,Turmish,2020-02,,Total Orders by Nation and Month,150
,Turmish,2020-03,,Total Orders by Nation and Month,154
,Turmish,2020-04,,Total Orders by Nation and Month,156
,Turmish,2020-05,,Total Orders by Nation and Month,141
,Turmish,2020-06,,Total Orders by Nation and Month,156
,Turmish,2020-07,,Total Orders by Nation and Month,165
,Turmish,2020-08,,Total Orders by Nation and Month,167
,Turmish,2020-09,,Total Orders by Nation and Month,137
,Turmish,2020-10,,Total Orders by Nation and Month,140
,Turmish,2020-11,,Total Orders by Nation and Month,171
,Turmish,2020-12,,Total Orders by Nation and Month,160
,Turmish,2021-01,,Total Orders by Nation and Month,169
,Turmish,2021-02,,Total Orders by Nation and Month,148
,Turmish,2021-03,,Total Orders by Nation and Month,179
,Turmish,2021-04,,Total Orders by Nation and Month,162
,Turmish,2021-05,,Total Orders by Nation and Month,158
,Turmish,2021-06,,Total Orders by Nation and Month,181
,Turmish,2021-07,,Total Orders by Nation and Month,158
,Turmish,2021-08,,Total Orders by Nation and Month,160
,Turmish,2021-09,,Total Orders by Nation and Month,156
,Turmish,2021-10,,Total Orders by Nation and Month,181
,Turmish,2021-11,,Total Orders by Nation and Month,160
,Turmish,2021-12,,Total Orders by Nation and Month,151
,Turmish,2022-01,,Total Orders by Nation and Month,154
,Turmish,2022-02,,Total Orders by Nation and Month,131
,Turmish,2022-03,,Total Orders by Nation and Month,163
,Turmish,2022-04,,Total Orders by Nation and Month,163
,Turmish,2022-05,,Total Orders by Nation and Month,172
,Turmish,2022-06,,Total Orders by Nation and Month,181
,Turmish,2022-07,,Total Orders by Nation and Month,153
,Turmish,2022-08,,Total Orders by Nation and Month,161
,Turmish,2022-09,,Total Orders by Nation and Month,121
,Turmish,2022-10,,Total Orders by Nation and Month,145
,Turmish,2022-11,,Total Orders by Nation and Month,142
,Turmish,2022-12,,Total Orders by Nation and Month,185
,Turmish,2023-01,,Total Orders by Nation and Month,153
,Turmish,2023-02,,Total Orders by Nation and Month,150
,Turmish,2023-03,,Total Orders by Nation and Month,161
,Turmish,2023-04,,Total Orders by Nation and Month,159
,Turmish,2023-05,,Total Orders by Nation and Month,172
,Turmish,2023-06,,Total Orders by Nation and Month,152
,Turmish,2023-07,,Total Orders by Nation and Month,155
,Turmish,2023-08,,Total Orders by Nation and Month,169
